kod_stacji,nazwa_stacji,lon,lat,temperatura_gruntu,temperatura_gruntu_data,wiatr_kierunek,wiatr_kierunek_data,wiatr_srednia_predkosc,wiatr_srednia_predkosc_data,wiatr_predkosc_maksymalna,wiatr_predkosc_maksymalna_data,wilgotnosc_wzgledna,wilgotnosc_wzgledna_data,wiatr_poryw_10min,wiatr_poryw_10min_data,opad_10min,opad_10min_data
353140200,ŚWINOUJŚCIE,14.242222,53.923333,-2.7,2025-02-20 21:50:00,164,2025-02-20 21:50:00,3.7,2025-02-20 21:50:00,7.7,2025-02-20 21:50:00,68,2025-02-20 21:50:00,,,0.0,2025-02-20 21:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,-9.9,2025-02-19 05:50:00,204,2025-02-19 05:50:00,2.0,2025-02-19 05:50:00,2.4,2025-02-19 05:50:00,94,2025-02-19 05:50:00,,,0.0,2025-02-19 05:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,2.5,2025-02-14 12:20:00,33,2025-02-14 12:20:00,8.0,2025-02-14 12:20:00,9.3,2025-02-14 12:20:00,70,2025-02-14 12:20:00,,,0.0,2025-02-15 21:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,2.5,2025-02-14 12:20:00,33,2025-02-14 12:20:00,8.0,2025-02-14 12:20:00,9.3,2025-02-14 12:20:00,70,2025-02-14 12:20:00,,,0.0,2025-02-16 05:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,2.5,2025-02-14 12:20:00,33,2025-02-14 12:20:00,8.0,2025-02-14 12:20:00,9.3,2025-02-14 12:20:00,70,2025-02-14 12:20:00,,,0.0,2025-02-16 21:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,6.5,2025-02-21 13:50:00,192,2025-02-21 13:50:00,4.6,2025-02-21 13:50:00,8.4,2025-02-21 13:50:00,67,2025-02-21 13:50:00,,,0.0,2025-02-21 13:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,2.5,2025-02-14 12:20:00,33,2025-02-14 12:20:00,8.0,2025-02-14 12:20:00,9.3,2025-02-14 12:20:00,70,2025-02-14 12:20:00,,,0.0,2025-02-15 05:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,2.5,2025-02-14 12:20:00,33,2025-02-14 12:20:00,8.0,2025-02-14 12:20:00,9.3,2025-02-14 12:20:00,70,2025-02-14 12:20:00,,,0.0,2025-02-14 21:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,12.7,2025-02-24 13:50:00,168,2025-02-24 13:50:00,4.3,2025-02-24 13:50:00,9.0,2025-02-24 13:50:00,55,2025-02-24 13:50:00,,,0.0,2025-02-24 13:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,2.5,2025-02-23 21:50:00,109,2025-02-23 21:50:00,1.4,2025-02-23 21:50:00,2.0,2025-02-23 21:50:00,97,2025-02-23 21:50:00,,,0.0,2025-02-23 21:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,3.5,2025-02-21 21:50:00,185,2025-02-21 21:50:00,4.8,2025-02-21 21:50:00,8.4,2025-02-21 21:50:00,85,2025-02-21 21:50:00,,,0.0,2025-02-21 21:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,6.5,2025-02-23 13:50:00,55,2025-02-23 13:50:00,1.3,2025-02-23 13:50:00,1.6,2025-02-23 13:50:00,92,2025-02-23 13:50:00,,,0.0,2025-02-23 13:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,6.4,2025-02-27 13:50:00,88,2025-02-27 13:50:00,2.9,2025-02-27 13:50:00,3.6,2025-02-27 13:50:00,95,2025-02-27 13:50:00,,,0.0,2025-02-27 13:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,2.5,2025-02-14 12:20:00,33,2025-02-14 12:20:00,8.0,2025-02-14 12:20:00,9.3,2025-02-14 12:20:00,70,2025-02-14 12:20:00,,,0.0,2025-02-14 17:50:00
